close,conversionSymbol,conversionType,high,low,open,time (unix epoch),volumefrom,volumeto,ingestion_date (unix epoch)
0.267,"",direct,0.275,0.24,0.2401,1292803200,10682.71,2769.88,1680537367
0.24,"",direct,0.267,0.24,0.267,1292889600,9225.79,2291.81,1680537367
0.25,"",direct,0.25,0.244,0.24,1292976000,3800.46,949.38,1680537367
0.25,"",direct,0.25,0.241,0.25,1293062400,8650.15,2160.74,1680537367
0.248,"",direct,0.25,0.242,0.25,1293148800,5033.25,1252.05,1680537367
0.2499,"",direct,0.25,0.2475,0.248,1293235200,703.0,175.44,1680537367
0.265,"",direct,0.27,0.2464,0.2499,1293321600,16584.97,4203.03,1680537367
0.265,"",direct,0.27,0.251,0.265,1293408000,4935.49,1270.15,1680537367
0.281,"",direct,0.281,0.2612,0.265,1293494400,15438.71,4238.98,1680537367
0.3,"",direct,0.301,0.271,0.281,1293580800,18609.14,5363.75,1680537367
0.3,"",direct,0.3,0.291,0.3,1293667200,2539.87,759.92,1680537367
0.3,"",direct,0.3,0.292,0.3,1293753600,1453.72,428.44,1680537367
0.3,"",direct,0.3,0.292,0.3,1293840000,2821.24,841.95,1680537367
0.3,"",direct,0.3,0.289,0.3,1293926400,5352.11,1584.66,1680537367
0.295,"",direct,0.2999,0.29,0.3,1294012800,1425.19,420.85,1680537367
0.2989,"",direct,0.2999,0.289,0.295,1294099200,1879.0,548.33,1680537367
0.299,"",direct,0.299,0.29,0.2989,1294185600,357.16,106.19,1680537367
0.298,"",direct,0.299,0.29,0.299,1294272000,3456.49,1031.28,1680537367
0.32,"",direct,0.322,0.2975,0.298,1294358400,42601.12,13152.15,1680537367
0.3229,"",direct,0.3229,0.309,0.32,1294444800,1629.44,512.04,1680537367
0.323,"",direct,0.323,0.3229,0.3229,1294531200,1691.37,546.18,1680537367
0.3266,"",direct,0.329,0.3175,0.323,1294617600,10355.83,3360.65,1680537367
0.3266,"",direct,0.3266,0.3176,0.3266,1294704000,4857.8,1578.66,1680537367
0.3188,"",direct,0.3557,0.318,0.3266,1294790400,31359.77,10508.17,1680537367
0.3176,"",direct,0.405,0.3176,0.3188,1294876800,20118.9,7147.03,1680537367
0.4,"",direct,0.45,0.3176,0.3176,1294963200,27130.96,10691.11,1680537367
0.386,"",direct,0.4,0.385,0.4,1295049600,1515.66,591.15,1680537367
0.3868,"",direct,0.4,0.386,0.386,1295136000,2778.71,1085.16,1680537367
0.3495,"",direct,0.3868,0.315,0.3868,1295222400,18241.15,6360.69,1680537367
0.313,"",direct,0.3495,0.305,0.3495,1295308800,15671.51,4950.51,1680537367
0.313,"",direct,0.313,0.305,0.313,1295395200,7291.63,2247.62,1680537367
0.39,"",direct,0.39,0.31,0.313,1295481600,19881.98,6900.05,1680537367
0.4199,"",direct,0.44,0.368,0.39,1295568000,8477.55,3351.62,1680537367
0.4443,"",direct,0.4443,0.39,0.4199,1295654400,10534.27,4513.91,1680537367
0.4424,"",direct,0.4443,0.42,0.4443,1295740800,1148.4,505.83,1680537367
0.4199,"",direct,0.4424,0.381,0.4424,1295827200,11061.94,4516.68,1680537367
0.41,"",direct,0.425,0.4,0.4199,1295913600,2163.72,901.25,1680537367
0.417,"",direct,0.42,0.3904,0.41,1296000000,15564.81,6315.95,1680537367
