time,open,close,high,low,volumefrom,volumeto
1302480000,0.7369,0.77,0.799,0.7103,14645.93,11255.96
1302566400,0.77,0.86,0.899,0.7703,48417.6,41333.11
1302652800,0.86,0.9225,1.0,0.86,43397.56,40467.74
1302739200,0.9225,1.0,1.0,0.91,31111.88,29643.61
1302825600,1.0,0.9899,1.09,0.911,50304.61,50488.94
1302912000,0.9899,1.05,1.095,0.9541,28869.3,30097.18
1302998400,1.05,1.112,1.14,1.026,24225.7,26085.25
1303084800,1.112,1.162,1.2,1.11,27478.69,31552.55
1303171200,1.162,1.198,1.198,1.144,12556.73,14782.06
1303257600,1.198,1.142,1.198,1.13,21344.95,24691.86
1303344000,1.142,1.21,1.21,1.14,39295.69,46345.35
1303430400,1.21,1.409,1.41,1.189,39415.39,50929.92
1303516800,1.409,1.7,1.95,1.32,66620.36,103242.84
1303603200,1.7,1.63,1.95,1.6,21541.69,36076.01
1303689600,1.63,1.559,1.701,1.521,13471.6,21226.89
1303776000,1.559,1.795,1.795,1.53,24054.31,40211.17
1303862400,1.795,1.9,1.95,1.72,33055.26,62403.35
1303948800,1.9,2.211,2.65,1.66,100238.23,203392.46
1304035200,2.211,2.88,2.95,2.21,57577.32,148954.47
1304121600,2.88,3.5,4.15,2.75,65427.8,214977.24
1304208000,3.5,3.033,3.87,2.5,45772.07,143521.98
1304294400,3.033,3.2,3.495,3.029,18333.83,59421.72
1304380800,3.2,3.41,3.49,3.11,16919.18,56187.48
1304467200,3.41,3.406,3.58,3.25,17278.29,59434.11
1304553600,3.406,3.333,3.45,3.333,15350.34,52331.39
1304640000,3.333,3.45,3.61,3.29,23014.7,80063.98
1304726400,3.45,3.641,3.7,3.425,17833.29,64359.68
1304812800,3.641,3.866,3.937,3.63,21132.51,79620.81
1304899200,3.866,3.8,3.9,3.691,11520.93,43805.92
1304985600,3.8,5.81,5.99,3.81,56217.32,266466.71
1305072000,5.81,5.5,6.065,4.6,52569.15,281496.86
1305158400,5.5,6.3,6.49,5.22,31722.46,184839.99
1305244800,6.3,8.198,8.45,6.32,64003.37,478840.49
1305331200,8.198,7.198,8.9,5.83,55390.45,435571.02
1305417600,7.198,6.987,7.78,6.2,18294.87,123255.5
1305504000,6.987,8.034,8.5,6.75,44141.41,343050.47
1305590400,8.034,7.19,8.389,6.98,35345.46,265868.95
1305676800,7.19,6.88,7.5,6.6,25403.44,181331.16
1305763200,6.88,6.805,7.34,6.607,24436.41,170134.8
1305849600,6.805,5.59,7.1,5.577,44460.44,278992.34
1305936000,5.59,6.12,6.52,5.577,31111.9,185640.17
1306022400,6.12,6.69,6.759,5.99,23872.15,154432.52
1306108800,6.69,7.15,7.45,6.69,35279.88,250601.3
1306195200,7.15,7.42,7.51,6.96,29282.48,211827.28
1306281600,7.42,8.4,9.33,7.216,64049.94,510905.18
1306368000,8.4,8.798,8.987,8.01,28644.99,244820.48
1306454400,8.798,8.5,8.83,8.5,14431.84,125149.05
1306540800,8.5,8.3,8.7,8.11,12247.72,103463.69
1306627200,8.3,8.43,8.49,8.102,7487.54,62138.87
1306713600,8.43,8.8,9.0,8.25,17680.15,154258.85
1306800000,8.8,8.741,9.5,8.1,45794.42,406882.27
1306886400,8.741,9.57,9.699,8.3,43479.96,400564.35
1306972800,9.57,10.6,10.89,9.5,41047.27,415112.72
1307059200,10.6,14.29,14.5,10.58,72980.24,954513.54
1307145600,14.29,18.89,18.89,14.04,44475.34,729670.85
1307232000,18.89,16.7,19.0,16.2,24278.97,420612.47
1307318400,16.7,18.55,19.23,16.45,55092.47,1016927.39
1307404800,18.55,23.92,24.32,18.26,53715.04,1068903.32
1307491200,23.92,29.6,31.91,22.21,104925.16,2858820.38
1307577600,29.6,28.92,31.5,26.15,62933.66,1861589.64
1307664000,28.92,23.95,29.4,20.01,92208.2,2274786.4
1307750400,23.95,14.65,23.99,13.0,121869.97,2146587.96
1307836800,14.65,18.55,24.99,10.25,151194.16,2451134.56
1307923200,18.55,19.84,24.5,16.0,73421.79,1476239.59
1308009600,19.84,19.28,20.5,18.0,36155.99,696003.98
1308096000,19.28,19.49,20.0,19.02,27711.9,545336.14
1308182400,19.49,17.0,19.89,17.0,49202.14,927743.42
1308268800,17.0,15.68,18.34,13.0,108623.77,1684353.23
1308355200,15.68,16.89,16.95,15.05,35536.55,569949.34
1308441600,16.89,17.51,18.88,16.85,30176.74,536267.38
1308528000,17.51,17.51,17.51,17.51,0.0,0.0
1308614400,17.51,17.51,17.51,17.51,0.0,0.0
1308700800,17.51,17.51,17.51,17.51,0.0,0.0
1308787200,17.51,17.51,17.51,17.51,0.0,0.0
1308873600,17.51,17.51,17.51,17.51,0.0,0.0
1308960000,17.51,17.51,17.51,17.51,0.0,0.0
1309046400,17.51,16.45,17.51,14.01,15053.93,234621.8
1309132800,16.45,16.75,18.0,15.0,31452.54,535096.37
1309219200,16.75,16.95,17.52,16.5,24398.15,413032.22
1309305600,16.95,16.85,17.2,16.67,21043.37,355303.18
1309392000,16.85,16.1,17.0,15.73,34961.19,577145.55
1309478400,16.1,15.4,16.74,15.26,33284.45,529197.49
1309564800,15.4,15.4,15.8,15.27,19453.24,302134.7
1309651200,15.4,15.44,15.69,15.31,16792.29,259875.51
1309737600,15.44,13.86,15.49,13.14,52276.99,756913.59
1309824000,13.86,12.91,15.0,11.0,84081.15,1076305.46
1309910400,12.91,14.78,16.5,12.67,111818.32,1655319.63
1309996800,14.78,14.78,15.9,14.5,54465.7,825452.25
1310083200,14.78,14.31,15.64,13.9,34853.42,500143.38
1310169600,14.31,14.38,14.7,14.02,11909.17,171329.27
